contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250512P02400000,2025-04-10 16:27:18+00:00,2400.0,4.9,0.35,1.05,0.0,0.0,8,6,0.975586181640625,False,REGULAR,USD
SPXW250512P02800000,2025-04-11 17:06:53+00:00,2800.0,2.05,1.25,2.05,-1.71,-45.478725,1,5,0.8728040063476561,False,REGULAR,USD
SPXW250512P03000000,2025-04-11 13:30:02+00:00,3000.0,4.4,2.0,2.9,-0.96000004,-17.910448,2,48,0.8237322314453124,False,REGULAR,USD
SPXW250512P03200000,2025-04-09 13:30:55+00:00,3200.0,13.0,3.0,4.1,0.0,0.0,8,123,0.7751487329101563,False,REGULAR,USD
SPXW250512P03400000,2025-04-10 13:40:11+00:00,3400.0,9.7,4.5,5.6,4.46,85.11451,20,120,0.7270229934692383,False,REGULAR,USD
SPXW250512P04000000,2025-04-11 14:11:17+00:00,4000.0,20.8,12.7,14.3,-7.200001,-25.714287,3,20,0.5833476724243164,False,REGULAR,USD
SPXW250512P04200000,2025-04-11 14:11:17+00:00,4200.0,23.93,18.2,20.1,-10.169998,-29.824043,6,144,0.5390823680114747,False,REGULAR,USD
SPXW250512P04400000,2025-04-11 19:53:56+00:00,4400.0,27.8,20.1,35.1,-43.399998,-60.955055,12,19,0.5286759779357912,False,REGULAR,USD
SPXW250512P04600000,2025-04-11 19:53:56+00:00,4600.0,40.5,33.1,48.1,15.389999,61.290318,4,44,0.4808706698608398,False,REGULAR,USD
SPXW250512P04700000,2025-04-11 19:53:56+00:00,4700.0,49.3,42.0,57.0,-42.7,-46.413044,4,118,0.45825737060546884,False,REGULAR,USD
SPXW250512P04800000,2025-04-11 19:53:56+00:00,4800.0,60.1,53.0,68.0,12.599998,26.526314,2,28,0.4363078220367431,False,REGULAR,USD
SPXW250512P04900000,2025-04-10 16:50:01+00:00,4900.0,132.6,66.8,81.8,0.0,0.0,5,7,0.41535771415710443,False,REGULAR,USD
SPXW250512P05000000,2025-04-11 17:40:30+00:00,5000.0,85.85,82.7,99.7,-31.720001,-26.979673,45,207,0.39656670333862304,False,REGULAR,USD
SPXW250512P05100000,2025-04-11 14:12:03+00:00,5100.0,117.39,100.0,123.2,-64.36,-35.41128,3,23,0.38078927322387696,False,REGULAR,USD
SPXW250512P05200000,2025-04-10 19:41:24+00:00,5200.0,131.45,122.9,150.6,-78.270004,-37.321194,1,98,0.3630816255950927,False,REGULAR,USD
SPXW250512P05300000,2025-04-11 14:12:09+00:00,5300.0,223.23,153.2,180.4,-25.040009,-10.085797,10,92,0.33986179553985596,False,REGULAR,USD
SPXW250512P05450000,2025-04-11 15:56:12+00:00,5450.0,280.31,210.8,238.8,89.78,47.12119,2,8,0.3062012434768677,True,REGULAR,USD
SPXW250512P05550000,2025-04-09 19:09:47+00:00,5550.0,246.13,259.7,287.7,0.0,0.0,20,22,0.28250458103179926,True,REGULAR,USD
SPXW250512P05700000,2025-04-09 17:45:49+00:00,5700.0,429.4,353.2,381.2,0.0,0.0,10,15,0.24812687305450443,True,REGULAR,USD
SPXW250512P05750000,2025-04-10 16:09:14+00:00,5750.0,546.87,390.4,418.4,0.0,0.0,5,11,0.2378463667297363,True,REGULAR,USD
